periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
141.1,141,1,26,424,Q,1,1,0,26,0,17.948806000000005,0.0,17.948806000000005,83.051194
142.1,142,3,24,1255,Q,1,3,0,24,0,28.205479999999994,0.0,28.205479999999994,72.79452
143.1,143,1,26,1033,T,1,2,1,25,1,71.53732600000001,286.14930400000003,357.68663000000004,63.289754
144.1,144,1,26,128,Q,1,1,0,26,0,24.198173999999995,0.0,24.198173999999995,76.801826
145.1,145,1,26,16,Q,1,1,0,26,0,31.206942999999995,0.0,31.206942999999995,69.793057
146.1,146,1,26,Gap,G,0,0,0,0,26,0.0,7441.299840000001,7441.299840000001,0
147.1,147,1,26,698,Q,1,1,0,26,0,34.86489,0.0,34.86489,66.13511
148.1,148,1,26,449,T,1,5,4,22,4,71.43213999999989,1142.91424,1214.34638,63.704807
149.1,149,9,18,301,Q,5,9,0,18,0,18.810152000000002,0.0,18.810152000000002,82.189848
150.1,150,1,26,487,T,15,17,2,10,16,71.4245579999997,4571.171711999999,4642.596269999999,62.715043
151.1,151,1,26,297,Q,1,1,0,26,0,28.901027999999997,0.0,28.901027999999997,72.098972
152.1,152,1,26,Hire,H,0,6,5,21,5,142.96273999999994,1429.6273999999999,1572.5901399999998,0
152.2,152,1,26,795,T,1,7,6,20,6,71.48136999999997,1715.55288,1787.03425,63.139928
153.1,153,1,26,Hire,H,0,5,4,22,4,143.03209199999992,1144.2567359999998,1287.2888279999997,0
154.1,154,1,26,Gap,G,0,0,0,0,26,0.0,7437.628432,7437.628432,0
155.1,155,1,26,761,Q,1,1,0,26,0,20.467737,0.0,20.467737,80.532263
156.1,156,7,20,1169,Q,1,7,0,20,0,31.406397,0.0,31.406397,69.593603
157.1,157,1,26,359,Q,1,1,0,26,0,25.341517999999994,0.0,25.341517999999994,75.658482
158.1,158,1,26,558,Q,1,1,0,26,0,28.580045999999996,0.0,28.580045999999996,72.419954
159.1,159,1,26,583,Q,1,1,0,26,0,19.676182999999995,0.0,19.676182999999995,81.323817
160.1,160,1,26,1140,Q,1,1,0,26,0,28.849456000000004,0.0,28.849456000000004,72.150544
161.1,161,1,26,1,Q,1,1,0,26,0,31.499775,0.0,31.499775,69.500225
162.1,162,1,26,1237,Q,1,1,0,26,0,28.737379000000004,0.0,28.737379000000004,72.262621
163.1,163,16,11,872,Q,1,16,0,11,0,27.128116000000006,0.0,27.128116000000006,73.871884
163.2,163,16,11,1306,Q,1,16,0,11,0,30.647525,0.0,30.647525,70.352475
163.3,163,16,11,327,Q,8,16,0,11,0,32.159774,0.0,32.159774,68.840226
164.1,164,1,26,1301,Q,1,1,0,26,0,21.572506000000004,0.0,21.572506000000004,79.427494
165.1,165,1,26,1153,Q,1,1,0,26,0,15.474643,0.0,15.474643,85.525357
165.2,165,1,26,184,Q,1,1,0,26,0,19.481628999999998,0.0,19.481628999999998,81.518371
166.1,166,1,26,362,Q,1,1,0,26,0,30.313614,0.0,30.313614,70.686386
167.1,167,1,26,Gap,G,0,0,0,0,26,0.0,7434.411088000001,7434.411088000001,0
168.1,168,1,26,603,Q,1,1,0,26,0,30.415937,0.0,30.415937,70.584063
169.1,169,20,7,1192,Q,1,20,0,7,0,15.180564000000004,0.0,15.180564000000004,85.819436
170.1,170,19,8,1018,Q,1,19,0,8,0,18.688343000000003,0.0,18.688343000000003,82.311657
171.1,171,1,26,777,Q,1,1,0,26,0,24.071799,0.0,24.071799,76.928201
172.1,172,1,26,1004,Q,1,1,0,26,0,21.174515999999997,0.0,21.174515999999997,79.825484
173.1,173,3,24,320,Q,1,3,0,24,0,30.979012999999995,0.0,30.979012999999995,70.020987
174.1,174,1,26,268,Q,1,1,0,26,0,26.339386000000005,0.0,26.339386000000005,74.660614
175.1,175,11,16,373,Q,10,11,0,16,0,35.711175999999995,0.0,35.711175999999995,65.288824
176.1,176,21,6,959,Q,20,21,0,6,0,25.875181999999995,0.0,25.875181999999995,75.124818
177.1,177,1,26,704,Q,1,1,0,26,0,27.518458999999993,0.0,27.518458999999993,73.481541
178.1,178,1,26,Hire,H,0,6,5,21,5,142.95939999999996,1429.594,1572.5534,0
179.1,179,1,26,1165,Q,1,1,0,26,0,28.460813,0.0,28.460813,72.539187
180.1,180,1,26,Gap,G,0,0,0,0,26,0.0,7416.594848,7416.594848,0
181.1,181,1,26,963,Q,1,1,0,26,0,31.224404000000007,0.0,31.224404000000007,69.775596
182.1,182,1,26,703,Q,1,1,0,26,0,19.638880999999998,0.0,19.638880999999998,81.361119
183.1,183,14,13,715,Q,12,14,0,13,0,23.184427,0.0,23.184427,77.815573
184.1,184,1,26,85,Q,1,1,0,26,0,22.834080999999998,0.0,22.834080999999998,78.165919
