periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
261.1,261,1,26,953,Q,1,1,0,26,0,34.0,0.0,34.0,66.663112
261.2,261,1,26,202,Q,1,1,0,26,0,30.0,0.0,30.0,70.416073
261.3,261,1,26,1249,Q,1,1,0,26,0,28.0,0.0,28.0,72.296612
263.1,263,1,26,16,Q,1,1,0,26,0,35.0,0.0,35.0,65.798039
264.1,264,26,1,922,Q,25,26,0,1,0,31.0,0.0,31.0,69.850812
265.1,265,1,26,1139,Q,1,1,0,26,0,27.0,0.0,27.0,73.231665
266.1,266,1,26,192,Q,1,1,0,26,0,34.0,0.0,34.0,66.160873
267.1,267,6,21,301,Q,5,6,0,21,0,28.0,0.0,28.0,72.897652
268.1,268,1,26,1090,Q,1,1,0,26,0,35.0,0.0,35.0,65.664113
270.1,270,1,26,658,Q,1,1,0,26,0,24.0,0.0,24.0,76.98826
271.1,271,1,26,863,Q,1,1,0,26,0,34.0,0.0,34.0,66.33427
272.1,272,1,26,1205,Q,1,1,0,26,0,27.0,0.0,27.0,73.626883
273.1,273,1,26,462,Q,1,1,0,26,0,34.0,0.0,34.0,66.206493
274.1,274,1,26,927,Q,1,1,0,26,0,30.0,0.0,30.0,70.091114
275.1,275,1,26,164,Q,1,1,0,26,0,24.0,0.0,24.0,76.024564
276.1,276,1,26,354,Q,1,1,0,26,0,30.0,0.0,30.0,70.078721
277.1,277,1,26,877,Q,1,1,0,26,0,33.0,0.0,33.0,67.723913
278.1,278,1,26,858,Q,1,1,0,26,0,33.0,0.0,33.0,67.263387
279.1,279,1,26,409,Q,1,1,0,26,0,35.0,0.0,35.0,65.801997
280.1,280,1,26,795,Q,1,1,0,26,0,31.0,0.0,31.0,69.305504
280.2,280,1,26,820,Q,1,1,0,26,0,33.0,0.0,33.0,67.267494
280.3,280,1,26,529,Q,1,1,0,26,0,32.0,0.0,32.0,68.06061
281.1,281,1,26,1152,Q,1,1,0,26,0,20.0,0.0,20.0,80.348303
282.1,282,1,26,698,Q,1,1,0,26,0,35.0,0.0,35.0,65.266747
283.1,283,1,26,228,Q,1,1,0,26,0,30.0,0.0,30.0,70.501766
284.1,284,1,26,608,T,1,4,3,23,3,57.87399200000016,697.1260079999998,755.0,62.969461
285.1,285,1,26,443,Q,1,1,0,26,0,32.0,0.0,32.0,68.842734
286.1,286,1,26,954,Q,1,1,0,26,0,33.0,0.0,33.0,67.72197
